dataset,arch,seed,remove_dom,debias,compression_rate,nb_dims_pca,disable_dp,sigma,max_per_sample_grad_norm,step,fraction,fraction_mean
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,2,0.9856974482536316,0.9826021194458008
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,3,0.9859145283699036,0.9826076626777649
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,4,0.9874303340911865,0.9755939841270447
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,5,0.9866393804550171,0.918639063835144
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,6,0.9864476919174194,0.9816296100616455
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,7,0.9870842099189758,0.9726673364639282
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,8,0.9872782230377197,0.9822645783424377
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,9,0.986335277557373,0.9797526001930237
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,10,0.9850688576698303,0.9663611054420471
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,11,0.9831157326698303,0.9644356966018677
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,12,0.9829567670822144,0.9639565348625183
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,13,0.9829640984535217,0.9612549543380737
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,14,0.9823203086853027,0.9409113526344299
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,15,0.9830960035324097,0.9630532264709473
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,16,0.9837392568588257,0.9314166307449341
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,17,0.9837703704833984,0.852484941482544
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,18,0.9834693670272827,0.9674752354621887
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,19,0.9828264713287354,0.9233682751655579
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,20,0.9811164140701294,0.9121978878974915
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,21,0.9789505004882812,0.9051145315170288
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,22,0.9783700108528137,0.9356767535209656
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,23,0.9791970252990723,0.8915932774543762
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,24,0.9764847159385681,0.9034937024116516
