dataset,arch,seed,remove_dom,debias,compression_rate,nb_dims_pca,disable_dp,sigma,max_per_sample_grad_norm,epoch,step,loss
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,0,2.4588866233825684
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,1,2.336361885070801
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,2,2.3198704719543457
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,3,2.3026723861694336
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,4,2.2777090072631836
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,5,2.314546823501587
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,6,2.2921946048736572
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,7,2.3085508346557617
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,8,2.290633201599121
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,9,2.2935354709625244
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,10,2.2850263118743896
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,11,2.2549028396606445
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,12,2.259460210800171
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,13,2.257957935333252
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,14,2.2601680755615234
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,15,2.2431507110595703
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,16,2.228426456451416
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,17,2.2182390689849854
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,18,2.212974786758423
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,19,2.215092420578003
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,20,2.211632013320923
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,21,2.2113349437713623
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,22,2.1870718002319336
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,23,2.1527700424194336
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,24,2.1271655559539795
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,25,2.1184847354888916
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,26,2.128603935241699
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,27,2.128018617630005
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,28,2.0841667652130127
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,29,2.061574935913086
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,30,2.06502628326416
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,31,2.048893928527832
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,32,2.059680461883545
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,33,2.034527063369751
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,34,2.0198841094970703
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,35,1.9111464023590088
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,36,1.9897770881652832
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,37,1.897714614868164
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,38,1.9181015491485596
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,39,1.9690439701080322
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,40,1.9424363374710083
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,41,1.8778204917907715
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,42,1.8272175788879395
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,43,1.8745918273925781
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,44,1.8046754598617554
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,45,1.8479766845703125
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,46,1.8085445165634155
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,47,1.9017226696014404
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,48,1.825152039527893
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,49,1.8180278539657593
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,50,1.8096262216567993
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,51,1.7873461246490479
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,52,1.7445251941680908
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,53,1.7498198747634888
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,54,1.827693223953247
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,55,1.6953022480010986
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,56,1.6306504011154175
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,57,1.7047619819641113
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,58,1.715697169303894
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,59,1.6166529655456543
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,60,1.6562011241912842
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,61,1.6328845024108887
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,62,1.624192476272583
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,63,1.5665231943130493
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,64,1.6010500192642212
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,65,1.6088485717773438
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,66,1.5491149425506592
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,67,1.5464158058166504
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,68,1.5817878246307373
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,69,1.486423373222351
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,70,1.565356731414795
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,71,1.527239441871643
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,72,1.5239708423614502
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,73,1.4662028551101685
